5QualifyingScene.js:493 Car Position - X: 1458, Y: 1023, Rotation: -65
QualifyingScene.js:493 Car Position - X: 884, Y: 757, Rotation: -65
QualifyingScene.js:493 Car Position - X: 881, Y: 755, Rotation: -65
QualifyingScene.js:493 Car Position - X: 878, Y: 754, Rotation: -65
QualifyingScene.js:493 Car Position - X: 875, Y: 753, Rotation: -65
QualifyingScene.js:493 Car Position - X: 872, Y: 751, Rotation: -65
QualifyingScene.js:493 Car Position - X: 868, Y: 750, Rotation: -65
QualifyingScene.js:493 Car Position - X: 865, Y: 748, Rotation: -65
QualifyingScene.js:493 Car Position - X: 862, Y: 746, Rotation: -65
QualifyingScene.js:493 Car Position - X: 858, Y: 745, Rotation: -65
QualifyingScene.js:493 Car Position - X: 854, Y: 743, Rotation: -65
QualifyingScene.js:493 Car Position - X: 850, Y: 741, Rotation: -65
QualifyingScene.js:493 Car Position - X: 846, Y: 739, Rotation: -65
QualifyingScene.js:493 Car Position - X: 842, Y: 737, Rotation: -65
QualifyingScene.js:493 Car Position - X: 838, Y: 736, Rotation: -65
QualifyingScene.js:493 Car Position - X: 797, Y: 717, Rotation: -65
QualifyingScene.js:493 Car Position - X: 793, Y: 715, Rotation: -65
QualifyingScene.js:493 Car Position - X: 790, Y: 713, Rotation: -65
QualifyingScene.js:493 Car Position - X: 786, Y: 711, Rotation: -65
QualifyingScene.js:493 Car Position - X: 782, Y: 710, Rotation: -65
QualifyingScene.js:493 Car Position - X: 778, Y: 708, Rotation: -65
QualifyingScene.js:493 Car Position - X: 773, Y: 706, Rotation: -65
QualifyingScene.js:493 Car Position - X: 641, Y: 645, Rotation: -65
QualifyingScene.js:493 Car Position - X: 639, Y: 644, Rotation: -65
QualifyingScene.js:493 Car Position - X: 637, Y: 643, Rotation: -65
QualifyingScene.js:493 Car Position - X: 635, Y: 642, Rotation: -65
QualifyingScene.js:493 Car Position - X: 633, Y: 641, Rotation: -65
QualifyingScene.js:493 Car Position - X: 630, Y: 640, Rotation: -65
QualifyingScene.js:493 Car Position - X: 628, Y: 639, Rotation: -65
QualifyingScene.js:493 Car Position - X: 625, Y: 638, Rotation: -65
QualifyingScene.js:493 Car Position - X: 602, Y: 627, Rotation: -65
QualifyingScene.js:493 Car Position - X: 600, Y: 626, Rotation: -65
QualifyingScene.js:493 Car Position - X: 598, Y: 625, Rotation: -65
QualifyingScene.js:493 Car Position - X: 595, Y: 624, Rotation: -65
QualifyingScene.js:493 Car Position - X: 593, Y: 623, Rotation: -65
QualifyingScene.js:493 Car Position - X: 590, Y: 622, Rotation: -65
QualifyingScene.js:493 Car Position - X: 587, Y: 620, Rotation: -65
QualifyingScene.js:493 Car Position - X: 561, Y: 608, Rotation: -65
QualifyingScene.js:493 Car Position - X: 558, Y: 607, Rotation: -65
QualifyingScene.js:493 Car Position - X: 556, Y: 606, Rotation: -65
QualifyingScene.js:493 Car Position - X: 553, Y: 605, Rotation: -65
QualifyingScene.js:493 Car Position - X: 550, Y: 603, Rotation: -65
QualifyingScene.js:493 Car Position - X: 486, Y: 574, Rotation: -65
QualifyingScene.js:493 Car Position - X: 484, Y: 573, Rotation: -65
QualifyingScene.js:493 Car Position - X: 482, Y: 572, Rotation: -65
QualifyingScene.js:493 Car Position - X: 480, Y: 571, Rotation: -65
QualifyingScene.js:493 Car Position - X: 478, Y: 570, Rotation: -65
QualifyingScene.js:493 Car Position - X: 476, Y: 569, Rotation: -65
QualifyingScene.js:493 Car Position - X: 473, Y: 568, Rotation: -65
QualifyingScene.js:493 Car Position - X: 470, Y: 567, Rotation: -65
QualifyingScene.js:493 Car Position - X: 438, Y: 552, Rotation: -65
QualifyingScene.js:493 Car Position - X: 435, Y: 551, Rotation: -65
QualifyingScene.js:493 Car Position - X: 433, Y: 550, Rotation: -65
QualifyingScene.js:493 Car Position - X: 431, Y: 549, Rotation: -65
QualifyingScene.js:493 Car Position - X: 428, Y: 548, Rotation: -65
QualifyingScene.js:493 Car Position - X: 425, Y: 546, Rotation: -65
QualifyingScene.js:493 Car Position - X: 423, Y: 545, Rotation: -65
QualifyingScene.js:493 Car Position - X: 420, Y: 544, Rotation: -65
QualifyingScene.js:493 Car Position - X: 384, Y: 527, Rotation: -63
QualifyingScene.js:493 Car Position - X: 381, Y: 526, Rotation: -61
QualifyingScene.js:493 Car Position - X: 379, Y: 525, Rotation: -58
QualifyingScene.js:493 Car Position - X: 377, Y: 524, Rotation: -56
QualifyingScene.js:493 Car Position - X: 375, Y: 523, Rotation: -54
QualifyingScene.js:493 Car Position - X: 373, Y: 522, Rotation: -51
QualifyingScene.js:493 Car Position - X: 371, Y: 521, Rotation: -49
QualifyingScene.js:493 Car Position - X: 369, Y: 521, Rotation: -47
QualifyingScene.js:493 Car Position - X: 367, Y: 520, Rotation: -44
QualifyingScene.js:493 Car Position - X: 365, Y: 519, Rotation: -42
QualifyingScene.js:493 Car Position - X: 364, Y: 518, Rotation: -39
QualifyingScene.js:493 Car Position - X: 362, Y: 517, Rotation: -37
QualifyingScene.js:493 Car Position - X: 360, Y: 517, Rotation: -35
QualifyingScene.js:493 Car Position - X: 359, Y: 516, Rotation: -32
QualifyingScene.js:493 Car Position - X: 358, Y: 515, Rotation: -30
QualifyingScene.js:493 Car Position - X: 356, Y: 515, Rotation: -27
QualifyingScene.js:493 Car Position - X: 355, Y: 514, Rotation: -25
QualifyingScene.js:493 Car Position - X: 343, Y: 509, Rotation: -23
QualifyingScene.js:493 Car Position - X: 342, Y: 508, Rotation: -20
QualifyingScene.js:493 Car Position - X: 341, Y: 508, Rotation: -18
QualifyingScene.js:493 Car Position - X: 340, Y: 507, Rotation: -15
QualifyingScene.js:493 Car Position - X: 339, Y: 507, Rotation: -13
QualifyingScene.js:493 Car Position - X: 338, Y: 507, Rotation: -11
2QualifyingScene.js:493 Car Position - X: 334, Y: 505, Rotation: -11
QualifyingScene.js:493 Car Position - X: 333, Y: 504, Rotation: -11
QualifyingScene.js:493 Car Position - X: 333, Y: 503, Rotation: -11
QualifyingScene.js:493 Car Position - X: 333, Y: 502, Rotation: -11
QualifyingScene.js:493 Car Position - X: 333, Y: 500, Rotation: -11
QualifyingScene.js:493 Car Position - X: 333, Y: 499, Rotation: -11
QualifyingScene.js:493 Car Position - X: 332, Y: 498, Rotation: -11
QualifyingScene.js:493 Car Position - X: 332, Y: 496, Rotation: -11
QualifyingScene.js:493 Car Position - X: 332, Y: 494, Rotation: -11
QualifyingScene.js:493 Car Position - X: 331, Y: 492, Rotation: -11
QualifyingScene.js:493 Car Position - X: 328, Y: 475, Rotation: -8
QualifyingScene.js:493 Car Position - X: 328, Y: 473, Rotation: -6
QualifyingScene.js:493 Car Position - X: 327, Y: 472, Rotation: -3
QualifyingScene.js:493 Car Position - X: 327, Y: 470, Rotation: -1
QualifyingScene.js:493 Car Position - X: 327, Y: 468, Rotation: 1
QualifyingScene.js:493 Car Position - X: 327, Y: 467, Rotation: 4
QualifyingScene.js:493 Car Position - X: 326, Y: 466, Rotation: 6
QualifyingScene.js:493 Car Position - X: 326, Y: 464, Rotation: 9
QualifyingScene.js:493 Car Position - X: 326, Y: 463, Rotation: 11
QualifyingScene.js:493 Car Position - X: 326, Y: 462, Rotation: 13
QualifyingScene.js:493 Car Position - X: 325, Y: 460, Rotation: 16
QualifyingScene.js:493 Car Position - X: 325, Y: 459, Rotation: 18
QualifyingScene.js:493 Car Position - X: 325, Y: 458, Rotation: 21
QualifyingScene.js:493 Car Position - X: 325, Y: 457, Rotation: 23
QualifyingScene.js:493 Car Position - X: 325, Y: 456, Rotation: 26
QualifyingScene.js:493 Car Position - X: 324, Y: 455, Rotation: 28
QualifyingScene.js:493 Car Position - X: 324, Y: 454, Rotation: 30
QualifyingScene.js:493 Car Position - X: 324, Y: 453, Rotation: 33
QualifyingScene.js:493 Car Position - X: 324, Y: 452, Rotation: 35
QualifyingScene.js:493 Car Position - X: 324, Y: 451, Rotation: 38
QualifyingScene.js:493 Car Position - X: 322, Y: 440, Rotation: 38
2QualifyingScene.js:493 Car Position - X: 322, Y: 439, Rotation: 38
QualifyingScene.js:493 Car Position - X: 322, Y: 438, Rotation: 38
QualifyingScene.js:493 Car Position - X: 323, Y: 437, Rotation: 38
QualifyingScene.js:493 Car Position - X: 324, Y: 437, Rotation: 38
QualifyingScene.js:493 Car Position - X: 324, Y: 436, Rotation: 38
QualifyingScene.js:493 Car Position - X: 325, Y: 435, Rotation: 38
QualifyingScene.js:493 Car Position - X: 333, Y: 425, Rotation: 40
QualifyingScene.js:493 Car Position - X: 334, Y: 424, Rotation: 42
QualifyingScene.js:493 Car Position - X: 335, Y: 423, Rotation: 45
QualifyingScene.js:493 Car Position - X: 335, Y: 422, Rotation: 47
QualifyingScene.js:493 Car Position - X: 336, Y: 421, Rotation: 50
QualifyingScene.js:493 Car Position - X: 337, Y: 420, Rotation: 52
QualifyingScene.js:493 Car Position - X: 337, Y: 419, Rotation: 55
QualifyingScene.js:493 Car Position - X: 338, Y: 418, Rotation: 57
QualifyingScene.js:493 Car Position - X: 338, Y: 417, Rotation: 59
QualifyingScene.js:493 Car Position - X: 344, Y: 410, Rotation: 62
QualifyingScene.js:493 Car Position - X: 344, Y: 410, Rotation: 64
QualifyingScene.js:493 Car Position - X: 345, Y: 409, Rotation: 67
QualifyingScene.js:493 Car Position - X: 345, Y: 409, Rotation: 69
QualifyingScene.js:493 Car Position - X: 346, Y: 408, Rotation: 72
QualifyingScene.js:493 Car Position - X: 346, Y: 408, Rotation: 74
QualifyingScene.js:493 Car Position - X: 346, Y: 407, Rotation: 76
QualifyingScene.js:493 Car Position - X: 347, Y: 407, Rotation: 79
2QualifyingScene.js:493 Car Position - X: 347, Y: 406, Rotation: 81
QualifyingScene.js:493 Car Position - X: 357, Y: 404, Rotation: 81
2QualifyingScene.js:493 Car Position - X: 358, Y: 404, Rotation: 81
QualifyingScene.js:493 Car Position - X: 359, Y: 404, Rotation: 81
QualifyingScene.js:493 Car Position - X: 360, Y: 404, Rotation: 81
QualifyingScene.js:493 Car Position - X: 361, Y: 404, Rotation: 81
QualifyingScene.js:493 Car Position - X: 373, Y: 402, Rotation: 81
QualifyingScene.js:493 Car Position - X: 374, Y: 402, Rotation: 81
QualifyingScene.js:493 Car Position - X: 375, Y: 402, Rotation: 81
QualifyingScene.js:493 Car Position - X: 376, Y: 401, Rotation: 81
QualifyingScene.js:493 Car Position - X: 377, Y: 401, Rotation: 81
QualifyingScene.js:493 Car Position - X: 379, Y: 401, Rotation: 81
3QualifyingScene.js:493 Car Position - X: 449, Y: 391, Rotation: 81
QualifyingScene.js:493 Car Position - X: 450, Y: 391, Rotation: 81
QualifyingScene.js:493 Car Position - X: 451, Y: 391, Rotation: 81
QualifyingScene.js:493 Car Position - X: 452, Y: 390, Rotation: 81
QualifyingScene.js:493 Car Position - X: 453, Y: 390, Rotation: 81
QualifyingScene.js:493 Car Position - X: 454, Y: 390, Rotation: 81
QualifyingScene.js:493 Car Position - X: 467, Y: 388, Rotation: 84
QualifyingScene.js:493 Car Position - X: 468, Y: 388, Rotation: 86
QualifyingScene.js:493 Car Position - X: 469, Y: 388, Rotation: 88
QualifyingScene.js:493 Car Position - X: 470, Y: 388, Rotation: 91
QualifyingScene.js:493 Car Position - X: 471, Y: 387, Rotation: 93
QualifyingScene.js:493 Car Position - X: 472, Y: 387, Rotation: 96
QualifyingScene.js:493 Car Position - X: 480, Y: 386, Rotation: 98
QualifyingScene.js:493 Car Position - X: 480, Y: 386, Rotation: 101
QualifyingScene.js:493 Car Position - X: 481, Y: 386, Rotation: 103
QualifyingScene.js:493 Car Position - X: 482, Y: 386, Rotation: 106
QualifyingScene.js:493 Car Position - X: 482, Y: 386, Rotation: 108
QualifyingScene.js:493 Car Position - X: 483, Y: 386, Rotation: 110
QualifyingScene.js:493 Car Position - X: 484, Y: 386, Rotation: 113
QualifyingScene.js:493 Car Position - X: 487, Y: 385, Rotation: 113
2QualifyingScene.js:493 Car Position - X: 488, Y: 385, Rotation: 113
QualifyingScene.js:493 Car Position - X: 489, Y: 385, Rotation: 113
2QualifyingScene.js:493 Car Position - X: 490, Y: 386, Rotation: 113
QualifyingScene.js:493 Car Position - X: 491, Y: 387, Rotation: 113
QualifyingScene.js:493 Car Position - X: 492, Y: 387, Rotation: 113
QualifyingScene.js:493 Car Position - X: 503, Y: 392, Rotation: 113
QualifyingScene.js:493 Car Position - X: 505, Y: 392, Rotation: 113
QualifyingScene.js:493 Car Position - X: 506, Y: 393, Rotation: 113
QualifyingScene.js:493 Car Position - X: 507, Y: 393, Rotation: 113
QualifyingScene.js:493 Car Position - X: 509, Y: 394, Rotation: 113
QualifyingScene.js:493 Car Position - X: 510, Y: 394, Rotation: 113
QualifyingScene.js:493 Car Position - X: 524, Y: 400, Rotation: 113
QualifyingScene.js:493 Car Position - X: 525, Y: 401, Rotation: 113
QualifyingScene.js:493 Car Position - X: 527, Y: 401, Rotation: 113
QualifyingScene.js:493 Car Position - X: 529, Y: 402, Rotation: 113
QualifyingScene.js:493 Car Position - X: 530, Y: 403, Rotation: 113
QualifyingScene.js:493 Car Position - X: 532, Y: 404, Rotation: 113
QualifyingScene.js:493 Car Position - X: 553, Y: 412, Rotation: 113
QualifyingScene.js:493 Car Position - X: 555, Y: 413, Rotation: 113
QualifyingScene.js:493 Car Position - X: 557, Y: 414, Rotation: 113
QualifyingScene.js:493 Car Position - X: 559, Y: 415, Rotation: 113
QualifyingScene.js:493 Car Position - X: 561, Y: 416, Rotation: 113
QualifyingScene.js:493 Car Position - X: 563, Y: 417, Rotation: 113
QualifyingScene.js:493 Car Position - X: 565, Y: 418, Rotation: 113
QualifyingScene.js:493 Car Position - X: 587, Y: 427, Rotation: 113
QualifyingScene.js:493 Car Position - X: 590, Y: 428, Rotation: 113
QualifyingScene.js:493 Car Position - X: 612, Y: 437, Rotation: 113
QualifyingScene.js:493 Car Position - X: 614, Y: 438, Rotation: 113
QualifyingScene.js:493 Car Position - X: 616, Y: 439, Rotation: 113
QualifyingScene.js:493 Car Position - X: 619, Y: 440, Rotation: 113
QualifyingScene.js:493 Car Position - X: 644, Y: 450, Rotation: 113
QualifyingScene.js:493 Car Position - X: 646, Y: 451, Rotation: 113
QualifyingScene.js:493 Car Position - X: 648, Y: 452, Rotation: 113
QualifyingScene.js:493 Car Position - X: 650, Y: 453, Rotation: 113
QualifyingScene.js:493 Car Position - X: 652, Y: 454, Rotation: 113
QualifyingScene.js:493 Car Position - X: 676, Y: 464, Rotation: 113
QualifyingScene.js:493 Car Position - X: 678, Y: 465, Rotation: 113
QualifyingScene.js:493 Car Position - X: 680, Y: 466, Rotation: 113
QualifyingScene.js:493 Car Position - X: 683, Y: 467, Rotation: 113
QualifyingScene.js:493 Car Position - X: 685, Y: 468, Rotation: 113
QualifyingScene.js:493 Car Position - X: 715, Y: 480, Rotation: 113
QualifyingScene.js:493 Car Position - X: 717, Y: 481, Rotation: 113
QualifyingScene.js:493 Car Position - X: 719, Y: 482, Rotation: 113
QualifyingScene.js:493 Car Position - X: 721, Y: 483, Rotation: 113
QualifyingScene.js:493 Car Position - X: 724, Y: 484, Rotation: 113
QualifyingScene.js:493 Car Position - X: 788, Y: 511, Rotation: 113
QualifyingScene.js:493 Car Position - X: 789, Y: 511, Rotation: 113
QualifyingScene.js:493 Car Position - X: 791, Y: 512, Rotation: 113
QualifyingScene.js:493 Car Position - X: 793, Y: 513, Rotation: 113
QualifyingScene.js:493 Car Position - X: 794, Y: 513, Rotation: 113
QualifyingScene.js:493 Car Position - X: 796, Y: 514, Rotation: 113
QualifyingScene.js:493 Car Position - X: 798, Y: 515, Rotation: 113
QualifyingScene.js:493 Car Position - X: 815, Y: 522, Rotation: 113
QualifyingScene.js:493 Car Position - X: 817, Y: 523, Rotation: 113
QualifyingScene.js:493 Car Position - X: 819, Y: 524, Rotation: 113
QualifyingScene.js:493 Car Position - X: 821, Y: 525, Rotation: 113
QualifyingScene.js:493 Car Position - X: 824, Y: 525, Rotation: 113
QualifyingScene.js:493 Car Position - X: 826, Y: 526, Rotation: 113
QualifyingScene.js:493 Car Position - X: 850, Y: 537, Rotation: 113
QualifyingScene.js:493 Car Position - X: 852, Y: 537, Rotation: 113
QualifyingScene.js:493 Car Position - X: 855, Y: 538, Rotation: 113
QualifyingScene.js:493 Car Position - X: 857, Y: 539, Rotation: 113
QualifyingScene.js:493 Car Position - X: 859, Y: 540, Rotation: 113
QualifyingScene.js:493 Car Position - X: 889, Y: 553, Rotation: 113
QualifyingScene.js:493 Car Position - X: 891, Y: 554, Rotation: 113
QualifyingScene.js:493 Car Position - X: 894, Y: 555, Rotation: 113
QualifyingScene.js:493 Car Position - X: 896, Y: 556, Rotation: 113
QualifyingScene.js:493 Car Position - X: 899, Y: 557, Rotation: 113
QualifyingScene.js:493 Car Position - X: 926, Y: 568, Rotation: 113
QualifyingScene.js:493 Car Position - X: 928, Y: 569, Rotation: 113
QualifyingScene.js:493 Car Position - X: 931, Y: 570, Rotation: 113
QualifyingScene.js:493 Car Position - X: 933, Y: 571, Rotation: 113
QualifyingScene.js:493 Car Position - X: 936, Y: 572, Rotation: 113
QualifyingScene.js:493 Car Position - X: 968, Y: 586, Rotation: 115
QualifyingScene.js:493 Car Position - X: 970, Y: 586, Rotation: 117
QualifyingScene.js:493 Car Position - X: 973, Y: 587, Rotation: 120
QualifyingScene.js:493 Car Position - X: 975, Y: 588, Rotation: 122
QualifyingScene.js:493 Car Position - X: 993, Y: 596, Rotation: 122
QualifyingScene.js:493 Car Position - X: 995, Y: 597, Rotation: 122
QualifyingScene.js:493 Car Position - X: 996, Y: 598, Rotation: 122
QualifyingScene.js:493 Car Position - X: 998, Y: 598, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1000, Y: 600, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1002, Y: 601, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1003, Y: 602, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1019, Y: 612, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1021, Y: 613, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1023, Y: 614, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1025, Y: 615, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1027, Y: 617, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1029, Y: 618, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1048, Y: 629, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1050, Y: 631, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1052, Y: 632, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1054, Y: 634, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1057, Y: 635, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1059, Y: 637, Rotation: 122
QualifyingScene.js:493 Car Position - X: 1103, Y: 664, Rotation: 120
QualifyingScene.js:493 Car Position - X: 1105, Y: 665, Rotation: 117
QualifyingScene.js:493 Car Position - X: 1107, Y: 666, Rotation: 115
QualifyingScene.js:493 Car Position - X: 1109, Y: 667, Rotation: 112
QualifyingScene.js:493 Car Position - X: 1110, Y: 668, Rotation: 110
QualifyingScene.js:493 Car Position - X: 1112, Y: 669, Rotation: 108
QualifyingScene.js:493 Car Position - X: 1113, Y: 670, Rotation: 105
QualifyingScene.js:493 Car Position - X: 1115, Y: 671, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1124, Y: 677, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1125, Y: 678, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1127, Y: 678, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1128, Y: 678, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1130, Y: 679, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1132, Y: 679, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1148, Y: 683, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1149, Y: 683, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1151, Y: 684, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1153, Y: 684, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1156, Y: 685, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1158, Y: 685, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1181, Y: 690, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1183, Y: 691, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1185, Y: 691, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1188, Y: 692, Rotation: 103
QualifyingScene.js:493 Car Position - X: 1190, Y: 692, Rotation: 100
QualifyingScene.js:493 Car Position - X: 1193, Y: 693, Rotation: 98
QualifyingScene.js:493 Car Position - X: 1195, Y: 694, Rotation: 96
QualifyingScene.js:493 Car Position - X: 1198, Y: 694, Rotation: 93
QualifyingScene.js:493 Car Position - X: 1200, Y: 694, Rotation: 91
QualifyingScene.js:493 Car Position - X: 1203, Y: 695, Rotation: 89
QualifyingScene.js:493 Car Position - X: 1226, Y: 699, Rotation: 86
QualifyingScene.js:493 Car Position - X: 1228, Y: 700, Rotation: 84
QualifyingScene.js:493 Car Position - X: 1230, Y: 700, Rotation: 81
QualifyingScene.js:493 Car Position - X: 1231, Y: 700, Rotation: 79
QualifyingScene.js:493 Car Position - X: 1236, Y: 701, Rotation: 79
